Date,Open,High,Low,Close,Adj Close,Volume,MACD,RSI,CCI,ADX
1997-08-07,1167.927001953125,1199.239990234375,1161.6319580078125,1199.239990234375,1199.239990234375,0,2.550960123602408,54.64558603735929,22.84527017401983,0.0
1997-08-08,1205.9520263671875,1216.56103515625,1201.3580322265625,1206.052978515625,1206.052978515625,0,4.060648429848243,56.272215040991895,103.10908484584533,0.0
1997-08-11,1206.4560546875,1206.759033203125,1182.447021484375,1184.0830078125,1184.0830078125,0,3.44458720708667,50.039740410838576,21.026856520667053,8.973010859753327
1997-08-12,1177.260986328125,1183.43603515625,1145.748046875,1146.8089599609375,1146.8089599609375,0,-0.05076471579513964,41.617876976137275,-129.4669578378644,10.22869330552805
1997-08-13,1139.2459716796875,1153.4949951171875,1118.2020263671875,1120.126953125,1120.126953125,0,-4.917188964614525,36.83830114235335,-205.48459139822094,11.999076574813813
1997-08-14,1120.470947265625,1168.3349609375,1120.2449951171875,1168.113037109375,1168.113037109375,0,-4.84592845465545,48.330977612172134,-103.08968753416241,13.038803146785943
1997-08-15,1174.1829833984375,1174.8819580078125,1133.8900146484375,1143.06396484375,1143.06396484375,0,-6.733089905880888,43.8460178224522,-95.06954744965363,13.742964564316464
1997-08-18,1139.60595703125,1139.60595703125,1116.14794921875,1134.634033203125,1134.634033203125,0,-8.807378012436402,42.41937794283206,-142.8768039163524,14.82528058245614
1997-08-19,1134.616943359375,1143.2010498046875,1128.1090087890625,1132.905029296875,1132.905029296875,0,-10.470089769211427,42.11669005592779,-112.41904235874343,15.676597417945805
1997-08-20,1135.050048828125,1144.64599609375,1133.741943359375,1144.6390380859375,1144.6390380859375,0,-10.717420618050483,44.985759032544784,-83.55818975603032,16.402162243485396
1997-08-21,1148.386962890625,1165.218017578125,1147.8160400390625,1164.5450439453125,1164.5450439453125,0,-9.20111901376572,49.553881992298365,-23.81875359389515,16.185262513165505
